Surname,First_Name,Cognome e Nome,Genere,S.S.D.,ateneo,ID,fascia_id,Scopus_id,Total_Papers,Total_Citations,H-index,papers_1984,papers_1987,papers_1989,papers_1992,papers_1994,papers_1995,papers_1997,papers_1998,papers_1999,papers_2000,papers_2002,papers_2003,papers_2004,papers_2006,papers_2007,papers_2008,papers_2009,papers_2011,papers_2012,papers_2013,papers_2014,papers_2016,papers_2017,papers_2018,papers_2019,papers_2020,papers_2021,papers_2022,papers_2023,citations_1984,citations_1987,citations_1989,citations_1992,citations_1994,citations_1995,citations_1997,citations_1998,citations_1999,citations_2000,citations_2002,citations_2003,citations_2004,citations_2006,citations_2007,citations_2008,citations_2009,citations_2011,citations_2012,citations_2013,citations_2014,citations_2016,citations_2017,citations_2018,citations_2019,citations_2020,citations_2021,citations_2022,citations_2023,Journal,papers_2010,papers_2015,citations_2010,citations_2015,Book,Book Series,papers_1996,papers_2001,citations_1996,citations_2001,papers_2005,citations_2005,papers_1990,papers_1991,papers_1993,citations_1990,citations_1991,citations_1993,Conference Proceeding,papers_1988,citations_1988,papers_1982,citations_1982,Trade Journal,papers_1985,papers_1986,citations_1985,citations_1986,papers_1983,citations_1983,papers_1976,citations_1976,papers_1979,papers_1981,citations_1979,citations_1981,papers_1978,citations_1978,papers_1973,papers_1977,papers_1980,citations_1973,citations_1977,citations_1980,Report,papers_1975,citations_1975,papers_1974,citations_1974,papers_1972,citations_1972,papers_1960,citations_1960,papers_1971,citations_1971,papers_1970,citations_1970,papers_1968,papers_1969,citations_1968,citations_1969,papers_1959,papers_1963,papers_1964,papers_1966,papers_1967,citations_1959,citations_1963,citations_1964,citations_1966,citations_1967,papers_1954,citations_1954,papers_1961,papers_1962,papers_1965,citations_1961,citations_1962,citations_1965,papers_1955,citations_1955,papers_1952,citations_1952,papers_1957,citations_1957,papers_1953,papers_1956,papers_1958,citations_1953,citations_1956,citations_1958,papers_1947,citations_1947,papers_1950,papers_1951,citations_1950,citations_1951,papers_2024,citations_2024,papers_1948,citations_1948,papers_1937,citations_1937,papers_1902,papers_1904,papers_1908,citations_1902,citations_1904,citations_1908,papers_1939,citations_1939,Abilitato,Anno_abilitazione,ricercatore_to_associato,associato_to_ordinario,fascia_id_2012,fascia_id_2013,fascia_id_2014,fascia_id_2015,fascia_id_2016,fascia_id_2017,fascia_id_2018,fascia_id_2019,fascia_id_2020,fascia_id_2021,fascia_id_2022,Cod_AreaCUN,ESEC/FSE_2019,MSR_2016,ICSA_2016,ICSA_2020,ECSA_2018,ECSA_2014,ICSA_2014,ICSA_2018,ICSA_2022,ESEC/FSE_2017,ICSE_2016,ICSE_2017,ICSE_2019,ICSE_2015,ICSE_2014,ASE_2018,ECSA_2019,ICSA_2021,ASE_2017,ICSA_2017,ASE_2015,ASE_2014,MSR_2014,RE_2020,ECSA_2017,ICSA_2023,ICSA_2015,ICSA_2019,SEAMS_2016,SEAMS_2015
Nocera,Francesco,NOCERA Francesco,M,ING-IND/11,CATANIA,24913,0,9-s2.0-7004439906,146.0,2129.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,3.0,5.0,0.0,4.0,7.0,5.0,7.0,9.0,13.0,10.0,7.0,6.0,9.0,18.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,86.0,2.0,2.0,2.0,0.0,18.0,26.0,461.0,126.0,182.0,231.0,192.0,132.0,189.0,168.0,65.0,15.0,0.0,77.0,3.0,8.0,76.0,147.0,3.0,17.0,0.0,3.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020.0,2018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciancarini,Paolo,CIANCARINI Paolo,M,INF/01,BOLOGNA,18699,2,9-s2.0-7004218817,232.0,2154.0,21.0,0.0,0.0,0.0,2.0,1.0,7.0,7.0,11.0,5.0,9.0,8.0,2.0,4.0,10.0,7.0,6.0,7.0,3.0,5.0,8.0,4.0,16.0,12.0,16.0,9.0,11.0,7.0,6.0,1.0,0.0,0.0,0.0,14.0,41.0,32.0,75.0,140.0,31.0,151.0,195.0,4.0,17.0,37.0,31.0,25.0,46.0,32.0,108.0,48.0,18.0,150.0,78.0,67.0,67.0,37.0,21.0,2.0,0.0,74.0,7.0,4.0,58.0,13.0,6.0,68.0,13.0,6.0,187.0,206.0,6.0,28.0,6.0,4.0,2.0,66.0,112.0,17.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ferrarini,Luca,FERRARINI Luca,M,ING-INF/04,Politecnico di MILANO,5528,2,9-s2.0-7004200361,139.0,1376.0,21.0,0.0,0.0,0.0,3.0,8.0,4.0,2.0,2.0,4.0,0.0,4.0,5.0,6.0,9.0,5.0,6.0,6.0,5.0,3.0,2.0,3.0,2.0,9.0,2.0,5.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,48.0,65.0,23.0,10.0,28.0,61.0,0.0,41.0,69.0,125.0,130.0,47.0,45.0,72.0,57.0,23.0,12.0,33.0,5.0,22.0,44.0,52.0,49.0,16.0,1.0,0.0,39.0,6.0,5.0,39.0,111.0,2.0,1.0,2.0,4.0,8.0,11.0,10.0,125.0,1.0,0.0,2.0,0.0,0.0,4.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vicario,Enrico,VICARIO Enrico,M,ING-INF/05,FIRENZE,69899,2,9-s2.0-7004018543,152.0,1675.0,20.0,0.0,0.0,0.0,3.0,5.0,6.0,1.0,6.0,6.0,3.0,2.0,4.0,2.0,1.0,7.0,6.0,5.0,9.0,4.0,9.0,5.0,6.0,7.0,6.0,4.0,3.0,7.0,7.0,2.0,0.0,0.0,0.0,13.0,13.0,204.0,2.0,55.0,24.0,30.0,37.0,87.0,112.0,8.0,40.0,18.0,109.0,82.0,76.0,124.0,9.0,41.0,52.0,10.0,13.0,25.0,31.0,7.0,0.0,52.0,5.0,6.0,68.0,41.0,0.0,38.0,2.0,6.0,11.0,262.0,3.0,58.0,0.0,1.0,3.0,0.0,3.0,10.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denti,Enrico,DENTI Enrico,M,ING-INF/05,BOLOGNA,18893,1,9-s2.0-7003759868,70.0,930.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,2.0,5.0,2.0,4.0,5.0,1.0,1.0,0.0,1.0,5.0,1.0,7.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,48.0,78.0,20.0,5.0,69.0,61.0,15.0,82.0,19.0,14.0,10.0,0.0,1.0,0.0,11.0,14.0,13.0,38.0,6.0,29.0,0.0,0.0,0.0,18.0,4.0,2.0,17.0,8.0,0.0,21.0,1.0,6.0,7.0,277.0,2.0,73.0,0.0,0.0,1.0,0.0,0.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De lucia,Andrea,DE LUCIA Andrea,M,ING-INF/05,SALERNO,33731,2,9-s2.0-7003641564,300.0,10824.0,57.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,6.0,7.0,6.0,12.0,4.0,8.0,16.0,18.0,19.0,22.0,14.0,14.0,17.0,11.0,6.0,14.0,15.0,5.0,12.0,4.0,9.0,1.0,0.0,0.0,0.0,4.0,67.0,115.0,147.0,241.0,134.0,279.0,896.0,44.0,153.0,213.0,374.0,312.0,613.0,424.0,607.0,1101.0,740.0,330.0,719.0,679.0,216.0,194.0,33.0,13.0,0.0,95.0,11.0,16.0,542.0,1041.0,4.0,10.0,3.0,9.0,146.0,283.0,8.0,162.0,0.0,0.0,1.0,0.0,0.0,2.0,189.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lanubile,Filippo,LANUBILE Filippo,M,INF/01,BARI,49016,2,9-s2.0-7003587349,140.0,3228.0,28.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,3.0,1.0,2.0,2.0,4.0,3.0,5.0,6.0,8.0,9.0,4.0,4.0,7.0,7.0,6.0,3.0,12.0,6.0,4.0,4.0,9.0,0.0,0.0,0.0,0.0,14.0,27.0,19.0,184.0,43.0,613.0,62.0,23.0,135.0,31.0,45.0,40.0,79.0,61.0,84.0,51.0,55.0,92.0,43.0,123.0,448.0,84.0,59.0,26.0,11.0,0.0,39.0,5.0,4.0,180.0,180.0,0.0,11.0,4.0,3.0,304.0,82.0,1.0,0.0,0.0,1.0,2.0,0.0,4.0,26.0,89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tortorella,Maria,TORTORELLA Maria,F,ING-INF/05,SANNIO di BENEVENTO,41639,1,9-s2.0-7003456054,84.0,452.0,11.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,7.0,3.0,3.0,0.0,6.0,5.0,4.0,8.0,0.0,4.0,4.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,0.0,9.0,8.0,0.0,34.0,18.0,71.0,24.0,7.0,0.0,12.0,18.0,7.0,62.0,0.0,37.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,9.0,4.0,42.0,8.0,5.0,14.0,1.0,1.0,11.0,1.0,6.0,33.0,0.0,0.0,1.0,0.0,0.0,12.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pironti,Alfredo,PIRONTI Alfredo,M,ING-INF/04,Napoli Federico II,36743,2,9-s2.0-6701759140,269.0,4053.0,32.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,6.0,5.0,3.0,3.0,9.0,0.0,6.0,7.0,12.0,8.0,17.0,9.0,9.0,5.0,20.0,18.0,32.0,18.0,6.0,7.0,16.0,1.0,0.0,0.0,0.0,5.0,14.0,24.0,33.0,84.0,60.0,18.0,56.0,116.0,0.0,84.0,78.0,107.0,286.0,217.0,158.0,326.0,64.0,107.0,523.0,453.0,262.0,42.0,26.0,61.0,0.0,172.0,7.0,19.0,77.0,329.0,2.0,11.0,5.0,4.0,64.0,22.0,11.0,357.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2014.0,0.0,2014.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vardanega,Tullio,VARDANEGA Tullio,M,INF/01,PADOVA,65160,1,9-s2.0-6701737010,170.0,1364.0,18.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,8.0,2.0,6.0,9.0,4.0,6.0,3.0,11.0,15.0,11.0,9.0,5.0,7.0,9.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,11.0,22.0,5.0,10.0,1.0,8.0,19.0,2.0,24.0,45.0,17.0,33.0,28.0,253.0,190.0,126.0,63.0,23.0,19.0,122.0,34.0,4.0,4.0,0.0,50.0,12.0,16.0,67.0,161.0,0.0,32.0,1.0,4.0,5.0,6.0,8.0,51.0,0.0,1.0,1.0,0.0,0.0,7.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aversano,Lerina,AVERSANO Lerina,F,ING-INF/05,SANNIO di BENEVENTO,41493,1,9-s2.0-6701736448,121.0,1357.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,8.0,4.0,5.0,2.0,6.0,5.0,3.0,8.0,0.0,5.0,4.0,3.0,4.0,10.0,12.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,6.0,149.0,64.0,275.0,30.0,56.0,18.0,6.0,62.0,0.0,39.0,7.0,3.0,27.0,71.0,91.0,7.0,0.0,28.0,10.0,4.0,178.0,8.0,4.0,12.0,0.0,5.0,0.0,100.0,2.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2020.0,2016.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vittorini,Valeria,VITTORINI Valeria,F,ING-INF/05,Napoli Federico II,37290,1,9-s2.0-6701381302,87.0,1042.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,3.0,3.0,4.0,2.0,6.0,1.0,4.0,4.0,3.0,10.0,5.0,2.0,3.0,2.0,4.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,14.0,3.0,0.0,33.0,16.0,103.0,40.0,121.0,2.0,75.0,46.0,48.0,136.0,75.0,18.0,18.0,8.0,75.0,69.0,19.0,13.0,0.0,32.0,2.0,7.0,11.0,61.0,2.0,29.0,0.0,0.0,0.0,0.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giorgini,Paolo,GIORGINI Paolo,M,ING-INF/05,TRENTO,29048,2,9-s2.0-6603873210,248.0,6459.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,7.0,15.0,11.0,19.0,9.0,15.0,11.0,7.0,10.0,11.0,15.0,10.0,12.0,6.0,6.0,11.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,7.0,313.0,384.0,1521.0,384.0,492.0,232.0,160.0,147.0,80.0,226.0,155.0,129.0,137.0,65.0,122.0,61.0,14.0,2.0,0.0,42.0,14.0,13.0,345.0,162.0,12.0,100.0,0.0,7.0,0.0,157.0,24.0,1146.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2014.0,0.0,2018.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
